ID,NOME,CATEGORIA,MARCA
1,Smartphone Samsung Galaxy A53,Eletrônicos,Samsung
2,Camiseta Masculina Estampada,Vestuário,Adidas
3,Conjunto de Panelas Tramontina,Utensílios de Cozinha,Tramontina
4,Arroz Branco Tipo 1 (5kg),Alimentos,Arroz Tio João
5,Notebook Dell Inspiron 15,Eletrônicos,Dell
6,Calça Jeans Feminina Levi's,Vestuário,Levi's
7,Luminária de Mesa LED,Decoração,Philips
8,Feijão Preto (1kg),Alimentos,Feijão Camil
9,Smartwatch Xiaomi Mi Band 6,Eletrônicos,Xiaomi
10,Vestido de Verão Floral,Vestuário,Renner
11,Quadro Decorativo com Moldura,Decoração,Arte em Casa
12,Azeite Extra Virgem Gallo (500ml),Alimentos,Gallo
13,Fone de Ouvido JBL Bluetooth,Eletrônicos,JBL
14,Blusa de Frio Feminina,Decoração,Marisa
15,Candelabro de Cristal,Decoração,Decora
16,Café Solúvel Nescafé (200g),Alimentos,Nescafé
17,Tablet Samsung Galaxy Tab S7,Eletrônicos,Samsung
18,Saia Midi Plissada,Vestuário,Marisa
19,Espelho de Parede Oval,Decoração,Decora
20,Açúcar Cristal (1kg),Alimentos,União
21,Câmera Digital Canon EOS,Eletrônicos,Canon
22,Calças de Moletom Masculinas,Vestuário,Adidas
23,Abajur de Mesa Moderno,Decoração,Decora
24,Macarrão Espaguete Barilla (500g),Alimentos,Barilla
25,Smart TV LG 50" 4K,Eletrônicos,LG
26,Casaco de Inverno,Vestuário,Columbia
27,Tapete de Sala,Decoração,Decora
28,Leite Condensado Moça (395g),Alimentos,Nestlé
29,Caixa de Som Bluetooth JBL,Eletrônicos,JBL
30,Shorts Jeans Feminino,Vestuário,Levi's
31,Vaso de Cerâmica Grande,Decoração,Decora
32,Ovos (Dúzia),Alimentos,Granja Fina
33,Console PlayStation 5,Eletrônicos,Sony
34,Camisa Polo Masculina,Vestuário,Tommy Hilfiger
35,Escultura de Resina,Decoração,Arte em Casa
36,Pão de Forma Pullman (500g),Alimentos,Pullman
37,Monitor LG 27" LED,Eletrônicos,LG
38,Macacão Jeans Feminino,Vestuário,Levi's
39,Porta Retrato de Madeira,Decoração,Decora
40,Manteiga Qualy (200g),Alimentos,Qualy
